sensor_11,sensor_14,sensor_2,sensor_12_norm,sensor_12,sensor_11_norm,setting2,sensor_15,cycle,sensor_15_norm,setting3,sensor_13,sensor_13_norm,id,sensor_7_norm,sensor_17,sensor_21,sensor_4_norm,sensor_17_norm,sensor_4,sensor_9,sensor_3_norm,sensor_2_norm,setting1,sensor_9_norm,sensor_14_norm,sensor_3,sensor_8,sensor_20,sensor_7
42.05,8076.44,549.81,-0.7781823564829554,130.41,-0.1468675825993504,0.84,9.3871,11,0.651086796853154,100.0,2387.64,-1.400149554644015,1,-0.8030291569397472,331,6.3394,-0.382167722029429,-0.6013037551012189,1126.23,8301.22,-0.7737284197077781,-0.7292102926136271,42.0029,-1.6687620694033405,-0.3614474136064213,1352.72,2211.59,10.51,137.81
47.34,8121.09,642.7,-0.1560150588652038,521.29,-0.7645278166876436,0.001,8.3892,12,-1.4361233730400536,100.0,2388.16,0.8564408323815756,1,0.6558412055527979,393,23.2694,-0.6972265646177644,-0.1304966518297589,1402.63,9038.84,-0.8138244546431345,0.0429098665996622,0.0015,-1.24885797039516,-1.243683678791943,1585.52,2388.12,39.04,553.93
44.43,8048.52,607.67,0.991163150784231,314.77,0.9861104300695674,0.7,9.1968,13,-1.034010767025834,100.0,2388.04,0.9919191545639956,1,1.0030087551126636,365,14.7202,1.0193045668280345,0.9781936228865032,1256.1,8710.39,1.0195812274821725,0.9954605220588588,20.0003,0.937382700516276,0.7979915724346699,1488.74,2323.87,24.4,335.33
42.11,8070.37,549.47,-0.7706996407408548,130.6,0.0941676424825537,0.8407,9.3905,14,0.7300577059456477,100.0,2387.69,-1.2426128865021178,1,-0.7737795235008922,330,6.323,-1.0301732470351903,-1.0818772526249592,1121.2,8312.22,-0.7773991837989745,-0.8432784353190379,42.002,-1.1755606125925562,-0.6962756837829974,1352.69,2211.59,10.69,138.6
45.49,8118.56,604.57,1.0929026638625907,372.03,0.0081529914493751,0.2513,8.6079,15,-1.4855602348014767,100.0,2388.14,-0.2249591612598498,1,1.3181825780191052,369,17.1272,-0.6246686642857979,-0.4698604024177201,1305.97,8765.1,-0.0504406783951361,-0.7236686982649639,10.0038,-1.1142942128645783,-1.0341250022435056,1501.72,2318.87,28.54,395.21
41.74,8053.94,555.56,1.2842903983265928,182.78,-1.3922162455224558,0.8419,9.3232,16,-0.8331017593267243,100.0,2387.76,-1.0220615511037483,1,1.293688237544274,332,8.9446,-0.2894114639769105,-0.1207302575774788,1126.95,8336.74,0.4119283817497745,1.1998832972577544,35.0053,-0.0761697288652254,-1.6025736210155357,1362.41,2222.76,14.96,194.44
36.73,7857.51,536.25,-1.0079838743609426,164.53,-1.0243539266665889,0.6217,10.8616,17,0.9440199772266696,60.0,2028.03,-1.0090178414347128,1,-1.0101314326069677,307,8.5935,-0.9784706712246536,-1.0182814431305491,1053.0,8005.82,-1.029629212603845,-1.024767987231216,25.0077,-1.0335356776071265,-1.2172307541097236,1260.07,1915.12,14.07,175.21
41.98,8052.73,555.45,1.2819274354606662,182.72,-0.4280753451948959,0.8404,9.3419,18,-0.398761759317885,100.0,2387.72,-1.1480908856181258,1,1.2688815863999288,334,8.9676,0.827528476738772,0.8404167374700015,1135.62,8336.57,0.7471915020793604,1.1629788981472051,34.9996,-0.083791933197759,-1.669318630391761,1365.15,2222.7,14.99,193.77
42.02,8070.7,549.07,-0.7777885293386347,130.42,-0.267385195140274,0.84,9.3798,19,0.481531609683918,100.0,2387.63,-1.4316568882715348,1,-0.7693365412063824,332,6.4195,0.7244659677915388,-0.1207302575774788,1134.82,8300.02,-1.17139452958776,-0.9774762502666048,42.0018,-1.7225658646917406,-0.6780724994076678,1349.47,2211.59,10.49,138.72
44.43,8047.01,607.9,0.9922276593173228,314.85,0.9861104300695674,0.7015,9.2623,20,-0.9561869961533332,100.0,2388.08,0.9921414747213242,1,0.9916933281269802,366,14.6601,1.0158618226954976,1.012615606783349,1255.75,8708.9,0.9631242118153082,1.0019664385687546,20.002,0.9332146712453684,0.782060544147761,1482.44,2323.94,24.46,334.43
42.28,8071.57,549.68,-0.7951169236887626,129.98,0.7771007802145968,0.8403,9.3824,21,0.5419211284017462,100.0,2387.62,-1.4631642219004874,1,-0.7985861746452374,331,6.3982,0.1370096667922837,-0.6013037551012189,1130.26,8303.44,-1.0710603110949724,-0.7728245824715873,42.0028,-1.569225048119657,-0.6300822860545214,1350.29,2211.59,10.56,137.93
42.01,8069.93,549.58,-0.7632169249987543,130.79,-0.3075577326539438,0.8419,9.3587,22,-0.0085525614490003,100.0,2387.72,-1.1480908856181258,1,-0.7667448015345854,330,6.4241,0.0300823137595326,-1.0818772526249592,1129.43,8300.2,-0.7725048316773793,-0.8063740362084504,42.0043,-1.71449529539846,-0.7205465962834203,1352.73,2211.58,10.58,138.79
41.97,8070.05,549.44,-0.7754255664727081,130.48,-0.4682478827085371,0.8416,9.3398,23,-0.447537909051506,100.0,2387.76,-1.0220615511037483,1,-0.7756307661236039,331,6.4308,-0.3731497524965538,-0.6013037551012189,1126.3,8300.28,-1.4161121356677489,-0.8533432714400968,41.9987,-1.7109083757125667,-0.7139272565105776,1347.47,2211.59,10.56,138.55
42.03,8069.53,550.18,-0.787634207946662,130.17,-0.2272126576266328,0.84,9.3807,24,0.5024356738554581,100.0,2387.64,-1.400149554644015,1,-0.7882192159580481,332,6.3598,-0.1644481718783797,-0.1207302575774788,1127.92,8308.75,-0.7614925394037898,-0.6050773137871193,42.0011,-1.3311432539682924,-0.7426110621929457,1352.82,2211.59,10.48,138.21
42.25,8066.98,549.42,-0.7655798878646809,130.73,0.6565831676736447,0.84,9.348,25,-0.25707865771073,100.0,2387.64,-1.400149554644015,1,-0.7582290854701078,332,6.4923,-0.870426358166969,-0.1207302575774788,1122.44,8306.69,-1.0673895470037758,-0.8600531621875076,42.0063,-1.4235064358801073,-0.8832720323659887,1350.32,2211.59,10.55,139.02
42.16,8072.18,549.36,-0.7777885293386347,130.42,0.2950303300507883,0.8402,9.3704,26,0.2632002727811025,100.0,2387.67,-1.3056275537585902,1,-0.770817535304552,331,6.3448,-0.5213021091081923,-0.6013037551012189,1125.15,8308.9,-0.1986420454197987,-0.8801828344296254,42.0001,-1.3244177795572525,-0.5964339755425089,1357.42,2211.71,10.62,138.68
36.77,7859.12,537.01,-1.0110443363935795,164.3,-1.0139099559822438,0.6206,10.9077,27,0.9987936541308278,60.0,2027.94,-1.0095180617887023,1,-0.9995703674203292,308,8.6005,-1.0273576379066915,-0.9838594592337034,1048.03,7998.23,-1.0014903190809945,-1.0032701761550409,25.0058,-1.0547674508730287,-1.2002446908369326,1263.21,1915.13,14.27,176.05
47.65,8122.45,643.04,-0.3193483734226255,521.17,0.4099920423575479,0.0,8.4871,28,1.214341356208053,100.0,2388.14,0.573626732925304,1,0.8286511038373555,392,23.2184,-0.5998758208158206,-0.7878010145840706,1403.5,9037.52,-0.1894836861298982,0.7285251540612475,0.0022,-1.317562927903959,-1.1614669590829094,1589.28,2388.13,38.93,554.08
47.33,8121.25,642.48,-0.1015706206792934,521.33,-0.8024155540762181,0.0,8.4545,29,0.3317555525973271,100.0,2388.07,-0.4162226151684314,1,0.1489321705851375,390,23.1713,0.7630345924115729,-2.102409740092694,1415.68,9039.24,1.5556816003259857,-0.4007235546991725,0.0007,-1.228038286301599,-1.234011123532063,1599.79,2388.1,38.73,553.49
44.35,8043.8,607.78,0.9931591042837772,314.92,0.9652224887008806,0.7011,9.2372,30,-0.986009540411345,100.0,2388.06,0.99203031464266,1,0.9929505977920556,365,14.6832,0.9079563851699533,0.9781936228865032,1244.78,8713.7,0.9922488627545636,0.9985720473462004,20.006,0.9466418796348748,0.7481939211007606,1485.69,2323.89,24.43,334.53
45.41,8117.91,605.13,-0.3102247161353782,371.28,-0.3088055620879912,0.25,8.6276,31,-0.9696448386958072,100.0,2388.16,-0.0200689183122482,1,-0.2009239245893284,368,17.0825,-0.037023698511131,-1.141350220241882,1310.94,8760.33,0.4901326336477294,0.4565213720752357,10.005,-1.3756567869942633,-1.074697282397957,1504.85,2318.93,28.5,394.19
45.32,8118.93,604.69,1.036777568662723,372.0,-0.6653839348174897,0.25,8.6558,32,-0.2311263528998178,100.0,2388.1,-0.6347396471550529,1,-0.1711375225774249,369,17.2355,0.7031488338328103,-0.4698604024177201,1317.2,8763.76,1.3674848461646445,-0.4707708260491726,10.0038,-1.1877168227878037,-1.011030012001767,1509.93,2318.93,28.65,394.21
47.61,8126.15,643.13,0.1978737893425174,521.55,0.2584410928033305,0.0,8.4411,33,-0.0310251151444724,100.0,2388.13,0.4322196832003834,1,0.2180561298988557,393,23.2935,-0.4342676589458241,-0.1304966518297589,1404.98,9039.84,-1.0977666658552778,0.9100115536835398,0.0028,-1.19680876016121,-0.9377891186979962,1583.81,2388.11,39.01,553.55
47.57,8116.33,642.24,-0.3465705925155033,521.15,0.1068901432491131,0.0008,8.4196,34,-0.6130985745809767,100.0,2388.13,0.4322196832003834,1,0.2756594293270853,392,23.2997,-0.2395661713419107,-0.7878010145840706,1406.72,9036.68,-0.5614313780101265,-0.8846872870251322,0.0012,-1.3612842645004843,-1.5314421977736423,1587.04,2388.15,39.02,553.6
45.48,8114.43,605.25,-0.1792661606688075,371.35,-0.0314668277428131,0.251,8.6566,35,-0.2101754738701467,100.0,2388.15,-0.1225140397837197,1,-0.126457919559485,368,17.1825,-0.5466313046456921,-1.141350220241882,1306.63,8765.65,0.3830542140098603,0.709419244291027,10.0066,-1.0841580670006117,-1.2919150284554264,1504.23,2319.01,28.74,394.24
36.91,7867.76,536.95,-1.0069193658278512,164.61,-0.9773560585870426,0.62,10.8817,36,0.967901775616553,60.0,2027.94,-1.0095180617887023,1,-1.0043479921476182,307,8.6697,-0.992044919518661,-1.0182814431305491,1051.62,7998.94,-0.930246942168046,-1.004967371766316,25.005,-1.0527813429654147,-1.1090896680562186,1271.16,1915.18,14.25,175.67
45.41,8109.56,604.84,-0.1979745257355364,371.34,-0.3088055620879912,0.25,8.6536,37,-0.2887412702313786,100.0,2388.15,-0.1225140397837197,1,-0.022205512517738,369,17.1937,-0.0299293930893105,-0.4698604024177201,1311.0,8764.83,-0.1989688088606156,-0.1546484857794934,10.0076,-1.129088320834206,-1.595895035150824,1500.86,2318.93,28.4,394.31
36.82,7862.53,536.76,-1.010778209260307,164.32,-1.0008549926268149,0.62,10.9054,38,0.996060911031488,60.0,2027.95,-1.00946248174937,1,-1.00007327528636,306,8.5581,-1.0479157385838451,-1.052703427027395,1045.94,8003.33,-1.0155597658424187,-1.0103418245353617,24.9987,-1.0405010419591805,-1.1642679978181585,1261.64,1915.16,14.23,176.01
36.57,7865.11,536.66,-1.01250803562658,164.19,-1.0661298094039626,0.6211,10.9318,39,1.0274280492152144,60.0,2027.95,-1.00946248174937,1,-0.9998218213533446,307,8.6205,-0.9326329922028628,-1.0182814431305491,1057.66,7994.34,-0.9616119508718596,-1.0131704838874906,24.9981,-1.065649084338687,-1.1370480951822524,1267.66,1915.13,14.44,176.03
45.57,8111.91,605.17,-0.5347250969349554,371.16,0.3251115449867134,0.25,8.6373,40,-0.7156154304610038,100.0,2388.16,-0.0200689183122482,1,0.0671536935180571,370,17.0936,0.20300030159401,0.2016294154064415,1312.97,8770.13,0.5315823444753005,0.5408206628137529,10.0065,-0.8386854606901781,-1.4492106376695029,1505.09,2318.94,28.55,394.37
36.95,7862.39,536.74,-1.0021290774289413,164.97,-0.9669120879026972,0.6211,10.8998,41,0.9894072756591834,60.0,2028.03,-1.0090178414347128,1,-1.00321644944905,307,8.5433,-1.0199803290512532,-1.0182814431305491,1048.78,7997.12,-1.0140363225625206,-1.0109075564057868,25.0051,-1.0578724928131005,-1.1657450467983952,1261.81,1915.12,14.37,175.76
41.9,8057.2,555.34,1.2827150897493087,182.74,-0.7494556453040826,0.84,9.3769,42,0.4141740695755903,100.0,2387.72,-1.1480908856181258,1,1.3099791726241423,334,8.874,0.9344558297715524,0.8404167374700015,1136.45,8335.88,0.7459679140489615,1.1260744990366176,35.0029,-0.1147291154886401,-1.4227482238531364,1365.14,2222.69,14.66,194.88
41.95,8070.12,549.78,-0.7376181606178832,131.44,-0.5485929577358195,0.8409,9.3745,43,0.3584298984514698,100.0,2387.65,-1.3686422210150626,1,-0.7634125648137029,331,6.3839,-0.2069614568191357,-0.6013037551012189,1127.59,8309.94,-1.0722838991253711,-0.739275128734686,42.0037,-1.2777878236405575,-0.7100659749764321,1350.28,2211.61,10.58,138.88
47.65,8128.64,642.57,0.3067626657141834,521.63,0.4099920423575479,0.0,8.4635,44,0.5754142100358772,100.0,2388.16,0.8564408323815756,1,-0.4501421434676115,393,23.2704,-0.4074122813452834,-0.1304966518297589,1405.22,9037.76,-1.2488704156815955,-0.2192371550768802,0.0002,-1.3050711174478222,-0.7872599774659378,1582.9,2388.16,38.81,552.97
41.91,8051.91,555.28,1.2799582997390604,182.67,-0.7092831077904413,0.84,9.3577,45,-0.0317792994174148,100.0,2387.74,-1.0850762183616534,1,1.2925774919706463,334,9.0246,-0.0201606593522592,0.8404167374700015,1129.04,8338.36,1.367550633492124,1.1059448267944616,35.0033,-0.0035346052257832,-1.7145507855062103,1370.22,2222.66,14.82,194.41
42.15,8071.22,549.44,-0.7588848264112217,130.9,0.2548577925371471,0.84,9.3717,46,0.2933950321400165,100.0,2387.63,-1.4316568882715348,1,-0.7900704585807609,331,6.3498,-0.4182396001609592,-0.6013037551012189,1125.95,8309.66,-0.5131041692326045,-0.8533432714400968,42.0046,-1.2903420425412249,-0.6493886937252997,1354.85,2211.61,10.63,138.16
45.52,8115.46,605.01,-0.3289330812020008,371.27,0.127012449025884,0.25,8.6394,47,-0.6606193730080997,100.0,2388.23,0.6970469320066864,1,-0.3498559346490153,371,17.1489,-0.1895512650804056,0.8731192332306031,1309.65,8763.1,-0.3336803690502119,0.2036234998594444,10.0049,-1.223880197824604,-1.2276235691338269,1500.08,2318.95,28.57,394.09
47.54,8123.03,643.26,0.1298182416103228,521.5,-0.0067730689165566,0.0014,8.4318,48,-0.282805727830955,100.0,2388.12,0.2908126334690324,1,-0.8648858993503142,392,23.3464,-0.7106542534180476,-0.7878010145840706,1402.51,9037.94,-0.3057173398424767,1.1721585753600825,0.0004,-1.295702259605696,-1.1264039462658175,1588.58,2388.16,38.89,552.61
42.11,8068.7,549.93,-0.7896033436682668,130.12,0.0941676424825537,0.8402,9.3749,49,0.3677205936388439,100.0,2387.7,-1.211105552874598,1,-0.7660043044854999,330,6.4362,0.425584691844554,-1.0818772526249592,1132.5,8305.4,-0.5498118101445972,-0.6889509481293533,41.9986,-1.481345515815229,-0.7883948289551446,1354.55,2211.6,10.44,138.81
41.93,8054.31,554.89,1.292560768357336,182.99,-0.6289380327631304,0.8401,9.3186,50,-0.9399447539812988,100.0,2387.77,-0.9905542174762284,1,1.3203461313113318,334,8.9934,-0.2881231826150711,0.8404167374700015,1126.96,8335.17,1.2770051192425271,0.9751019572205812,35.0059,-0.1465630277009334,-1.5821639900492084,1369.48,2222.7,14.85,195.16
36.63,7863.73,536.75,-1.0094475735939432,164.42,-1.0504638533774466,0.621,10.8934,51,0.981803120947976,60.0,2027.98,-1.0092957416313737,1,-1.012143064071089,306,8.6027,-0.9897825448029932,-1.052703427027395,1051.85,7995.32,-1.0031033766714768,-1.0106246904705742,24.9994,-1.0629076959591648,-1.151607577987506,1263.03,1915.11,14.22,175.05
42.04,8067.52,549.86,-0.7643984064317175,130.76,-0.1870401201129916,0.8404,9.3789,52,0.460627545512378,100.0,2387.65,-1.3686422210150626,1,-0.7785927543199441,331,6.3364,0.0249291883121754,-0.6013037551012189,1129.39,8298.45,-0.5669420425701809,-0.7124355657451574,42.0015,-1.7929591635274484,-0.8534850033881218,1354.41,2211.53,10.53,138.47
45.29,8114.12,605.05,-0.3476414462686233,371.26,-0.7842433923939985,0.25,8.6412,53,-0.6134798951913513,100.0,2388.21,0.4921566890590849,1,0.5288429247029849,371,17.1087,-0.0027345556389718,0.8731192332306031,1311.23,8759.83,-0.0331699655503312,0.2879227905979616,10.0061,-1.4030532832342697,-1.3112648851444813,1501.82,2318.99,28.49,394.68
47.64,8122.66,642.82,0.2114848988889563,521.56,0.3721043049690002,0.0,8.4297,54,-0.3396594145666263,100.0,2388.05,-0.6990367146247031,1,-0.5768694022095594,393,23.254,-1.008301355157371,-0.1304966518297589,1399.85,9034.62,-0.5431660895695585,0.2848917327626421,0.002,-1.4685056375823946,-1.1487717303043037,1587.15,2388.1,38.88,552.86
47.52,8120.28,642.91,-0.4690705784336083,521.06,-0.0825485436936518,0.0,8.5013,55,1.5987805712777683,100.0,2388.1,0.0079985340127607,1,0.287180089212705,392,23.2777,-0.4689558550131817,-0.7878010145840706,1404.67,9043.32,-0.5232403203617073,0.4663781323847051,0.0018,-1.0156775085470873,-1.2926509897951532,1587.27,2388.12,38.86,553.61
42.23,8073.22,549.51,-0.7829082822148087,130.29,0.5762380926463337,0.84,9.3868,56,0.6441187754626131,100.0,2387.59,-1.5576862227844797,1,-0.7767415116972314,332,6.4427,0.842987853080873,-0.1207302575774788,1135.74,8304.33,-1.6473702734133504,-0.8298586538242927,42.0043,-1.5293205666140834,-0.5390663641778229,1345.58,2211.57,10.59,138.52
44.4,8048.96,606.65,0.986106735252048,314.39,0.9782774520563094,0.7003,9.2407,57,-0.9818510183036532,100.0,2388.05,0.9919747346033292,1,0.9959680449882382,365,14.6122,1.0150749097509182,0.9781936228865032,1255.67,8713.81,0.999328393290567,0.96660819666715,20.0046,0.9469495864937972,0.8026337263725722,1486.48,2323.93,24.68,334.77
42.06,8056.45,555.58,1.2697187939867125,182.41,-0.1066950450856807,0.84,9.3193,58,-0.9236860374034253,100.0,2387.75,-1.0535688847327007,1,1.267770840826301,334,8.8635,0.5093229803641974,0.8404167374700015,1133.15,8334.28,1.464214087893715,1.2065931880051652,35.0031,-0.1864675092065071,-1.4641190974334402,1371.01,2222.67,14.73,193.74
42.2,8064.02,549.36,-0.780545319348882,130.35,0.4557204801054101,0.8412,9.368,59,0.207456101656982,100.0,2387.66,-1.3371348873875428,1,-0.7689662926818402,330,6.3491,-0.5290317972792575,-1.0818772526249592,1125.09,8303.55,-0.7492566590997737,-0.8801828344296254,42.0053,-1.5642930335516048,-1.0465490800962065,1352.92,2211.56,10.45,138.73
36.74,7864.81,537.03,-1.010778209260307,164.32,-1.0217429339955018,0.62,10.8843,60,0.9709909634679796,60.0,2028.02,-1.009073421474045,1,-1.012771698903627,308,8.6567,-1.0323742079283895,-0.9838594592337034,1047.52,7999.59,-1.006150263231275,-1.0027044442846156,25.002,-1.050963075162668,-1.1402132001399083,1262.69,1915.12,14.31,175.0
44.47,8045.61,607.51,0.9960865027497776,315.14,0.9965544007539108,0.7,9.2412,61,-0.9812569437168416,100.0,2388.06,0.99203031464266,1,0.990436058461904,367,14.6998,0.9897953314062814,1.0470375906801943,1253.1,8707.14,0.9556862240369738,0.9909346670954542,20.0011,0.92829136150255,0.7672900543453253,1481.61,2323.98,24.53,334.33
47.54,8117.75,643.24,0.5789848566432712,521.83,-0.0067730689165566,0.0,8.4424,62,0.0041700242632828,100.0,2388.21,1.56347608102547,1,-0.0238777276992891,392,23.1994,-0.3973415147450903,-0.7878010145840706,1405.31,9040.41,0.1725011211464043,1.1318282643329571,0.0029,-1.167140710327874,-1.4455982698421266,1591.46,2388.14,38.83,553.34
42.27,8066.56,550.1,-0.756521863545295,130.96,0.7369282427009556,0.8413,9.362,63,0.0680956738466601,100.0,2387.6,-1.52617888915696,1,-0.7808142454671991,331,6.3852,-0.7287154083645272,-0.6013037551012189,1123.54,8311.01,-0.4739493522597862,-0.6319168767766098,41.9992,-1.2298127728417034,-0.9064397215709128,1355.17,2211.53,10.36,138.41
42.2,8055.84,555.71,1.3075261998415373,183.37,0.4557204801054101,0.8406,9.3277,64,-0.7285814384689828,100.0,2387.79,-0.927539550219756,1,1.2692518349244708,334,8.8812,0.1022260700225929,0.8404167374700015,1129.99,8340.5,0.0154858599001914,1.2502074778631254,35.0052,0.092415496371925,-1.4977674079454026,1359.17,2222.73,14.76,193.78
47.55,8127.28,642.62,-0.5507372357122418,521.0,0.0311146684719909,0.0006,8.4554,65,0.3561214183411725,100.0,2388.11,0.1494055837441118,1,0.0682875513856685,394,23.1253,-0.4711938031465579,0.5268077109245528,1404.65,9040.81,1.0293091970847597,-0.1184113775090674,0.0016,-1.1463210262343129,-0.8694766971750263,1596.62,2388.18,38.73,553.42
42.25,8055.26,555.55,1.292166941213014,182.98,0.6565831676736447,0.84,9.3331,66,-0.6031570534397015,100.0,2387.74,-1.0850762183616534,1,1.294058486068816,334,8.8907,-0.0304669102469737,0.8404167374700015,1128.96,8341.42,1.5180519612313197,1.196528351884068,35.0053,0.1336650727597393,-1.5297608835141667,1371.45,2222.68,14.92,194.45
45.64,8111.05,605.01,-0.665683652401526,371.09,0.6024502793318914,0.25,8.6675,67,0.0752802529091866,100.0,2388.19,0.2872664461114834,1,-2.0476808493290397,372,17.1321,-0.0145583980086726,1.5446090510547648,1311.13,8763.55,0.4020519981391457,0.2036234998594444,10.0015,-1.199223351208658,-1.502890885258404,1504.34,2318.99,28.47,392.95
47.58,8120.24,642.88,0.1434293511567617,521.51,0.1447778806376607,0.0,8.478,68,0.9679753803535251,100.0,2388.15,0.7150337826566551,1,0.8286511038373555,394,23.2609,0.026749656530094,0.5268077109245528,1409.1,9043.13,-0.6112458010297922,0.4058826658440174,0.0,-1.0255668584915645,-1.2950691286101232,1586.74,2388.1,38.9,554.08
47.63,8125.99,642.48,0.0345404747850957,521.43,0.3342165675804526,0.0009,8.4428,69,0.0149992979272408,100.0,2388.08,-0.2748155654435108,1,-0.6229520417520382,392,23.2975,0.1106727115317803,-0.7878010145840706,1409.85,9042.91,0.2455622749086008,-0.4007235546991725,0.0009,-1.037017684742999,-0.947461673957876,1591.9,2388.15,38.9,552.82
42.04,8073.45,549.91,-0.7679428507306075,130.67,-0.1870401201129916,0.8411,9.3926,70,0.7788338556792685,100.0,2387.57,-1.620700890040952,1,-0.7430488959638665,330,6.4002,-0.5406263295358114,-1.0818772526249592,1125.0,8303.98,-0.8361314092581741,-0.6956608388767259,42.0024,-1.5450133402398971,-0.5263792962798871,1352.21,2211.62,10.53,139.43
44.5,8054.48,607.44,0.991828468617413,314.82,1.0043873787671689,0.7,9.2346,71,-0.9890987282627716,100.0,2388.01,0.9917524144460004,1,0.9929505977920556,365,14.6559,0.9920577061219492,0.9781936228865032,1253.33,8712.14,0.9607046254295856,0.9889546055489662,20.0074,0.9422780369082824,0.8608716575935769,1482.17,2323.93,24.4,334.53
36.92,7859.5,536.96,-1.0103790185603978,164.35,-0.9747450659159552,0.62,10.8678,72,0.9513865021031526,60.0,2028.03,-1.0090178414347128,1,-1.006233896645232,307,8.6689,-1.0966059770297385,-1.0182814431305491,1040.99,7996.85,-1.022997753620753,-1.0046845058311036,25.0057,-1.058627773285009,-1.1962355578905577,1260.81,1915.1,14.24,175.52
36.85,7864.94,536.57,-1.0023952045622142,164.95,-0.9930220146135568,0.6217,10.8815,73,0.9676641457818284,60.0,2028.04,-1.0089622613953808,1,-0.9964271932576394,308,8.6025,-1.0038486136873606,-0.9838594592337034,1050.42,8004.96,-1.023356210863082,-1.015716277304404,25.0025,-1.0359413857769113,-1.1388416546582625,1260.77,1915.13,14.16,176.3
44.36,8048.84,607.16,0.9874373709184124,314.49,0.967833481371966,0.702,9.2487,74,-0.9723458249146466,100.0,2388.09,0.9921970547606576,1,0.9874186112657216,366,14.689,0.9899920596424262,1.012615606783349,1253.12,8704.89,0.986513546877294,0.9810343593630044,20.0033,0.9219973575699704,0.801367684389508,1485.05,2323.95,24.33,334.09
